Time,True X,True Y,True Z,True VX,True VY,True VZ,True qw,True qx,True qy,True qz,True wx,True wy,True wz,Barometer,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Magnetometer X,Magnetometer Y,Magnetometer Z,GPS Latitude,GPS Longitude,GPS Altitude,Estimated X,Estimated Y,Estimated Z,Estimated VX,Estimated VY,Estimated VZ,Estimated aX,Estimated aY,Estimated aZ,Estimated qw,Estimated qx,Estimated qy,Estimated qz,Estimated wx,Estimated wy,Estimated wz,Estimated Cbx,Estimated Cby,Estimated Cbz,Error Signal,Controller Output,Airbrake Deployment Level
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[0.02991215],[nan],[nan],[nan],[-0.00031852],[-0.00042354],[-0.00079482],[0.00138569],[0.01324968],[0.96689101],[32.99024689],[-106.97498305],[4.30642989],[0.85997033],[-0.48538671],[0.036707],[0.],[0.],[0.],[0.50000005],[-0.49999995],[-0.50000006],[-0.49999994],[-0.00030501],[-0.00040557],[-0.0007611],[-0.00030501],[-0.00040557],[-0.0007611],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.85997033],[-0.48538671],[0.036707],[0.],[0.],[0.],[0.49999821],[-0.49999989],[-0.50000114],[-0.50000076],[-0.00030501],[-0.00040557],[-0.0007611],[-0.00030501],[-0.00040557],[-0.0007611],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[0.08940106],[9.75843305],[-3.67007246e-05],[-0.00156193],[-0.0010377],[-0.00025646],[6.3942351e-05],[0.03743511],[-0.01627413],[0.93980693],[nan],[nan],[nan],[0.85997033],[-0.48538675],[0.06315064],[-1.12330507e-06],[-1.52240643e-05],[0.02576833],[0.49999617],[-0.49999991],[-0.50000244],[-0.50000148],[-0.00091627],[-0.00028101],[-7.25064536e-05],[-0.00091627],[-0.00028101],[-7.25064536e-05],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.85997032],[-0.48538682],[0.06327949],[-1.68502543e-06],[-2.28372217e-05],[0.02552725],[0.49999459],[-0.50000131],[-0.50000174],[-0.50000237],[-0.00091627],[-0.00028101],[-7.25064536e-05],[-0.00091627],[-0.00028101],[-7.25064536e-05],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[0.00112109],[9.75512578],[-0.00052291],[-0.00053997],[0.0004056],[-0.00117168],[-0.00015439],[0.02463188],[-0.04250564],[0.98738172],[nan],[nan],[nan],[0.85997031],[-0.48538694],[0.04205139],[-3.54417354e-06],[-2.77037849e-05],[-0.03583843],[0.49999316],[-0.50000293],[-0.50000043],[-0.50000348],[0.00018242],[-0.00102095],[-0.00014035],[0.00018242],[-0.00102095],[-0.00014035],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.85997029],[-0.48538708],[0.0418722],[-6.56438145e-06],[-3.00749762e-05],[-0.03609593],[0.49999193],[-0.5000038],[-0.50000211],[-0.50000215],[0.00018242],[-0.00102095],[-0.00014035],[0.00018242],[-0.00102095],[-0.00014035],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.85997026],[-0.48538723],[0.04169172],[-9.58458936e-06],[-3.24461674e-05],[-0.03635343],[0.49999071],[-0.50000468],[-0.50000379],[-0.50000082],[0.00018242],[-0.00102095],[-0.00014035],[0.00018242],[-0.00102095],[-0.00014035],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[-0.13672086],[9.75843264],[0.00014658],[-0.0014576],[-3.4310211e-05],[0.00064658],[0.0007718],[0.03614744],[0.02962412],[1.00980594],[nan],[nan],[nan],[0.85997022],[-0.48538744],[-0.00889824],[-9.30998622e-06],[-3.86988059e-05],[-0.34998555],[0.49998887],[-0.50000505],[-0.5000073],[-0.49999879],[-5.90983696e-06],[0.00043813],[0.0006583],[-5.90983696e-06],[0.00043813],[0.0006583],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.85997017],[-0.48538764],[-0.01064817],[-9.07910251e-06],[-4.48996319e-05],[-0.35022671],[0.49999023],[-0.50000533],[-0.50000592],[-0.49999853],[-5.90983696e-06],[0.00043813],[0.0006583],[-5.90983696e-06],[0.00043813],[0.0006583],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.85997013],[-0.48538786],[-0.0123993],[-8.84821881e-06],[-5.11004579e-05],[-0.35046787],[0.49999159],[-0.50000561],[-0.50000454],[-0.49999826],[-5.90983696e-06],[0.00043813],[0.0006583],[-5.90983696e-06],[0.00043813],[0.0006583],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[0.14754815],[9.75724687],[-0.00011209],[0.00120609],[6.91843413e-05],[-0.00029485],[-0.00087145],[0.06998135],[-0.0172305],[0.93072802],[nan],[nan],[nan],[0.85997008],[-0.48538804],[0.02835895],[-9.54784705e-06],[-4.40813216e-05],[0.02642673],[0.49999231],[-0.50000528],[-0.50000502],[-0.4999974],[5.87394768e-05],[-0.00020427],[-0.00068125],[5.87394768e-05],[-0.00020427],[-0.00068125],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.85997003],[-0.48538826],[0.02849109],[-1.02294525e-05],[-3.72338688e-05],[0.02617976],[0.49999127],[-0.50000461],[-0.5000062],[-0.49999792],[5.87394768e-05],[-0.00020427],[-0.00068125],[5.87394768e-05],[-0.00020427],[-0.00068125],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.06,0.0,0.0,3.66493339001693e-06,0.0,0.0,0.004237256157134099,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.85996998],[-0.48538845],[0.02862198],[-1.0911058e-05],[-3.03864161e-05],[0.02593278],[0.49999024],[-0.50000394],[-0.50000738],[-0.49999845],[5.87394768e-05],[-0.00020427],[-0.00068125],[5.87394768e-05],[-0.00020427],[-0.00068125],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.065,0.0,0.0,0.00010953431198894576,0.0,0.0,0.0457737416478075,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[0.04067245],[12.81083413],[0.0001248],[-0.00037664],[-0.00018081],[0.00035712],[-0.00022024],[-0.07922155],[0.00999601],[0.96930847],[nan],[nan],[nan],[0.85997003],[-0.48538872],[0.03187766],[-5.04032183e-06],[-3.70122422e-05],[0.07299587],[0.49984012],[-0.49996279],[-0.5002387],[-0.49995831],[-0.00015048],[0.00028732],[-0.00027749],[-0.00015048],[0.00028732],[-0.00027749],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.07,0.0,0.0,0.0005352417218759621,0.0,0.0,0.13194948838401183,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.85997001],[-0.4853889],[0.03224264],[-7.49113386e-06],[-3.52188259e-05],[0.08794592],[0.49983994],[-0.49996228],[-0.50023849],[-0.4999592],[-0.00015048],[0.00028732],[-0.00027749],[-0.00015048],[0.00028732],[-0.00027749],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.075,0.0,0.0,0.0015034427051307108,0.0,0.0,0.2627732534326467,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.85996997],[-0.48538908],[0.03268237],[-9.94194589e-06],[-3.34254097e-05],[0.10289597],[0.49983977],[-0.49996176],[-0.50023829],[-0.4999601],[-0.00015048],[0.00028732],[-0.00027749],[-0.00015048],[0.00028732],[-0.00027749],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.08,0.0,0.0,0.0032374067829657534,0.0,0.0,0.4382565256839024,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[0.14178562],[35.92296728],[0.00215676],[-0.00117801],[-0.00019333],[-2.73962083e-05],[0.00027674],[0.07711745],[0.0109698],[1.02297924],[nan],[nan],[nan],[0.85997041],[-0.48538969],[0.06199166],[-2.84950494e-05],[-9.85141139e-06],[0.54035267],[0.49763311],[-0.50007069],[-0.50221541],[-0.50007027],[-0.00018787],[1.20408367e-05],[0.00020755],[-0.00018787],[1.20408367e-05],[0.00020755],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.085,0.0,0.0,0.005960467215048675,0.0,0.0,0.6584142923651234,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.85997027],[-0.48538974],[0.06469342],[-9.44724212e-05],[6.1090268e-05],[0.67038322],[0.49763315],[-0.50007117],[-0.5022149],[-0.50007026],[-0.00018787],[1.20408367e-05],[0.00020755],[-0.00018787],[1.20408367e-05],[0.00020755],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.09,0.0,0.0,0.009896034454497035,0.0,0.0,0.9232627972038383,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.8599698],[-0.48538943],[0.06804534],[-0.00016045],[0.00013203],[0.80041376],[0.49763319],[-0.50007165],[-0.50221439],[-0.50007026],[-0.00018787],[1.20408367e-05],[0.00020755],[-0.00018787],[1.20408367e-05],[0.00020755],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.095,0.0,0.0,0.0152733370562128,0.0,0.0,1.2380269271882385,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[0.06005295],[63.07469327],[0.00010036],[4.35183533e-05],[0.00076895],[-0.00090129],[8.27559772e-05],[-0.05583671],[-0.03124904],[1.04929904],[nan],[nan],[nan],[0.8599666],[-0.48538638],[0.06903236],[-0.00160977],[0.0015836],[1.03387144],[0.49685183],[-0.50005215],[-0.50303105],[-0.50004587],[0.0006493],[-0.00078716],[9.83167952e-05],[0.0006493],[-0.00078716],[9.83167952e-05],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.1,0.0,0.0,0.022398509364694383,0.0,0.0,1.6243541201528329,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[32.99027914],[-106.9749801],[1.76175792],[1.17012552],[0.76349304],[0.07499987],[0.00499527],[0.03541079],[1.30784092],[0.49685177],[-0.50005246],[-0.50303272],[-0.50004394],[0.0006493],[-0.00078716],[9.83167952e-05],[0.0006493],[-0.00078716],[9.83167952e-05],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.105,0.0,0.0,0.031585495371714824,0.0,0.0,2.0510978177613026,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[1.1701505],[0.7636701],[0.08153907],[0.00355689],[0.03685153],[1.57352669],[0.49685172],[-0.50005276],[-0.50303438],[-0.50004202],[0.0006493],[-0.00078716],[9.83167952e-05],[0.0006493],[-0.00078716],[9.83167952e-05],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.11,0.0,0.0,0.042915647679503996,0.0,0.0,2.481617645388805,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[-0.13993307],[92.66290309],[0.00272073],[0.00054838],[0.00022702],[-0.00088807],[-5.50816252e-05],[0.07178491],[0.06136323],[0.95304387],[nan],[nan],[nan],[1.17016579],[0.76385684],[0.028589],[0.00070059],[0.039737],[1.37924656],[0.49645082],[-0.49999747],[-0.50354527],[-0.49998127],[0.00027948],[-0.00087579],[-3.62322502e-05],[0.00027948],[-0.00087579],[-3.62322502e-05],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.115,0.0,0.0,0.05641065070774501,0.0,0.0,2.916975711508671,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[1.17016929],[0.76405552],[0.03548523],[-0.00213882],[0.04260523],[1.792804],[0.49645002],[-0.49999817],[-0.50354676],[-0.49997987],[0.00027948],[-0.00087579],[-3.62322502e-05],[0.00027948],[-0.00087579],[-3.62322502e-05],[3500.],[3500.],[3500.],0.0,0.0,0.0
