Time,True X,True Y,True Z,True VX,True VY,True VZ,True qw,True qx,True qy,True qz,True wx,True wy,True wz,Barometer,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Magnetometer X,Magnetometer Y,Magnetometer Z,GPS Latitude,GPS Longitude,GPS Altitude,Estimated X,Estimated Y,Estimated Z,Estimated VX,Estimated VY,Estimated VZ,Estimated aX,Estimated aY,Estimated aZ,Estimated qw,Estimated qx,Estimated qy,Estimated qz,Estimated wx,Estimated wy,Estimated wz,Estimated Cbx,Estimated Cby,Estimated Cbz,Error Signal,Controller Output,Airbrake Deployment Level
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[0.08607954],[nan],[nan],[nan],[-0.0007298],[-0.00071527],[0.0004302],[0.10175221],[0.03474409],[1.02185035],[32.99028405],[-106.97497604],[-0.87129593],[1.26301018],[2.05100957],[0.08446585],[0.],[0.],[0.],[0.49999974],[-0.50000026],[-0.50000054],[-0.49999946],[-0.00069883],[-0.00068492],[0.00041195],[-0.00069883],[-0.00068492],[0.00041195],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[1.26301018],[2.05100957],[0.08446585],[0.],[0.],[0.],[0.49999852],[-0.50000251],[-0.5],[-0.49999897],[-0.00069883],[-0.00068492],[0.00041195],[-0.00069883],[-0.00068492],[0.00041195],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[-0.1149268],[9.75660462],[0.00159202],[-0.00142975],[0.00117968],[8.25339474e-05],[-0.00048327],[0.09134761],[0.04577679],[0.96605681],[nan],[nan],[nan],[1.26301022],[2.05100953],[-0.01559895],[1.63073665e-05],[-1.35030098e-05],[-0.09982821],[0.49999684],[-0.50000452],[-0.50000087],[-0.49999778],[0.00086967],[-4.35414673e-05],[-0.00033409],[0.00086967],[-4.35414673e-05],[-0.00033409],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[1.2630103],[2.05100946],[-0.01609809],[2.44622105e-05],[-2.02555893e-05],[-0.10007843],[0.49999745],[-0.50000306],[-0.50000243],[-0.49999705],[0.00086967],[-4.35414673e-05],[-0.00033409],[0.00086967],[-4.35414673e-05],[-0.00033409],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[-0.03721817],[9.75740937],[0.00081274],[0.00063591],[0.00052135],[-0.00031184],[0.00039859],[-0.00641265],[0.13087229],[1.0493311],[nan],[nan],[nan],[1.26301042],[2.05100936],[-0.02366826],[3.05122187e-05],[-2.1605728e-05],[-0.12055897],[0.49999804],[-0.50000051],[-0.5000059],[-0.49999555],[0.00058028],[-0.00026643],[0.00027484],[0.00058028],[-0.00026643],[0.00027484],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[1.26301057],[2.05100925],[-0.02427105],[3.45817735e-05],[-1.79590146e-05],[-0.12080521],[0.49999877],[-0.50000046],[-0.50000661],[-0.49999415],[0.00058028],[-0.00026643],[0.00027484],[0.00058028],[-0.00026643],[0.00027484],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[1.26301075],[2.05100916],[-0.02487508],[3.86513283e-05],[-1.43123013e-05],[-0.12105145],[0.49999951],[-0.50000042],[-0.50000733],[-0.49999275],[0.00058028],[-0.00026643],[0.00027484],[0.00058028],[-0.00026643],[0.00027484],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[-0.02797634],[9.75559668],[0.00027146],[6.89877243e-05],[-0.00052555],[-0.00031652],[-0.00092291],[0.01058106],[0.04533869],[1.01036302],[nan],[nan],[nan],[1.26301094],[2.05100908],[-0.02618628],[4.00531658e-05],[-1.31726724e-05],[-0.12569559],[0.49999993],[-0.49999998],[-0.50000932],[-0.49999076],[-0.0003877],[-0.00031137],[-0.00077351],[-0.0003877],[-0.00031137],[-0.00077351],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[1.26301114],[2.05100902],[-0.02681476],[4.14877387e-05],[-1.20037125e-05],[-0.12595082],[0.49999809],[-0.49999989],[-0.50001019],[-0.49999183],[-0.0003877],[-0.00031137],[-0.00077351],[-0.0003877],[-0.00031137],[-0.00077351],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[1.26301134],[2.05100896],[-0.02744451],[4.29223115e-05],[-1.08347526e-05],[-0.12620605],[0.49999625],[-0.49999979],[-0.50001107],[-0.49999289],[-0.0003877],[-0.00031137],[-0.00077351],[-0.0003877],[-0.00031137],[-0.00077351],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[0.03272319],[9.75806962],[-0.0015851],[-0.00104467],[0.00052068],[0.00075347],[0.00038555],[0.12201166],[-0.01313049],[0.99589171],[nan],[nan],[nan],[1.26301154],[2.05100891],[-0.01209164],[3.43077994e-05],[-1.49971754e-05],[0.01535548],[0.49999289],[-0.49999902],[-0.50001594],[-0.49999216],[0.00040863],[0.00062186],[0.00024216],[0.00040863],[0.00062186],[0.00024216],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[1.26301171],[2.05100884],[-0.01201487],[2.58342983e-05],[-1.90697949e-05],[0.01511254],[0.49999448],[-0.49999803],[-0.50001537],[-0.49999212],[0.00040863],[0.00062186],[0.00024216],[0.00040863],[0.00062186],[0.00024216],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.06,0.0,0.0,3.66493339001693e-06,0.0,0.0,0.004237256157134099,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[1.26301184],[2.05100874],[-0.0119393],[1.73607972e-05],[-2.31424143e-05],[0.0148696],[0.49999607],[-0.49999705],[-0.5000148],[-0.49999209],[0.00040863],[0.00062186],[0.00024216],[0.00040863],[0.00062186],[0.00024216],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.065,0.0,0.0,0.00010953431198894576,0.0,0.0,0.0457737416478075,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[0.05556813],[12.8082649],[0.00216748],[-0.00011907],[0.00067665],[9.37544268e-05],[0.0008863],[-0.00533829],[0.03002761],[1.02220551],[nan],[nan],[nan],[1.26301207],[2.05100855],[0.00572298],[3.37680975e-05],[-2.85560592e-05],[0.21083134],[0.4998473],[-0.49995343],[-0.50024831],[-0.49995087],[0.00064333],[0.00015996],[0.00080597],[0.00064333],[0.00015996],[0.00080597],[3500.],[3500.],[3500.],0.0,0.0,0.0
