Time,True X,True Y,True Z,True VX,True VY,True VZ,True qw,True qx,True qy,True qz,True wx,True wy,True wz,Barometer,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Magnetometer X,Magnetometer Y,Magnetometer Z,GPS Latitude,GPS Longitude,GPS Altitude,Estimated X,Estimated Y,Estimated Z,Estimated VX,Estimated VY,Estimated VZ,Estimated aX,Estimated aY,Estimated aZ,Estimated qw,Estimated qx,Estimated qy,Estimated qz,Estimated wx,Estimated wy,Estimated wz,Estimated Cbx,Estimated Cby,Estimated Cbz,Error Signal,Controller Output,Airbrake Deployment Level
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[0.03931027],[nan],[nan],[nan],[-0.00077798],[0.00021791],[-0.00128255],[-0.04070685],[-0.03599303],[1.01571602],[32.99023722],[-106.97499434],[3.49868557],[0.21052383],[-1.14526028],[0.04479171],[0.],[0.],[0.],[0.50000002],[-0.49999998],[-0.4999997],[-0.5000003],[-0.00074497],[0.00020866],[-0.00122813],[-0.00074497],[0.00020866],[-0.00122813],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.21052383],[-1.14526028],[0.04479171],[0.],[0.],[0.],[0.49999781],[-0.49999912],[-0.50000004],[-0.50000303],[-0.00074497],[0.00020866],[-0.00122813],[-0.00074497],[0.00020866],[-0.00122813],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[0.04499516],[9.75621179],[-0.0008729],[0.00059728],[-0.0001451],[-0.00041307],[-0.00025752],[0.01343312],[-0.07180609],[1.03828031],[nan],[nan],[nan],[0.21052381],[-1.14526027],[0.04489318],[-9.94552477e-06],[5.71914367e-06],[-0.00040231],[0.49999554],[-0.49999858],[-0.49999986],[-0.50000602],[-0.00024388],[-0.00030962],[-0.00041768],[-0.00024388],[-0.00030962],[-0.00041768],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.21052376],[-1.14526024],[0.04489117],[-1.49190329e-05],[8.57914445e-06],[-0.00065449],[0.49999432],[-0.49999875],[-0.50000047],[-0.50000646],[-0.00024388],[-0.00030962],[-0.00041768],[-0.00024388],[-0.00030962],[-0.00041768],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[-0.06954674],[9.75750639],[0.0001243],[-0.00071681],[0.00021456],[0.00082308],[-0.00040613],[0.03489364],[0.01740168],[0.93580617],[nan],[nan],[nan],[0.21052368],[-1.14526021],[0.00565222],[-1.740113e-05],[8.09343285e-06],[-0.1131884],[0.49999258],[-0.49999878],[-0.50000213],[-0.50000651],[0.00013804],[0.00063261],[-0.00040712],[0.00013804],[0.00063261],[-0.00040712],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.2105236],[-1.14526017],[0.00508628],[-1.75918673e-05],[4.54524613e-06],[-0.11343416],[0.49999304],[-0.4999973],[-0.50000202],[-0.50000764],[0.00013804],[0.00063261],[-0.00040712],[0.00013804],[0.00063261],[-0.00040712],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.21052351],[-1.14526015],[0.0045191],[-1.77826046e-05],[9.97059413e-07],[-0.11367992],[0.49999349],[-0.49999583],[-0.50000191],[-0.50000876],[0.00013804],[0.00063261],[-0.00040712],[0.00013804],[0.00063261],[-0.00040712],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[0.01640517],[9.75435743],[0.00109836],[0.00102092],[-0.00016479],[-7.147219e-05],[3.13882073e-06],[0.04943171],[0.0363802],[0.95529708],[nan],[nan],[nan],[0.21052343],[-1.14526012],[0.00747312],[-1.34050853e-05],[5.77290135e-06],[-0.09204221],[0.49999331],[-0.49999359],[-0.50000386],[-0.50000923],[-0.00012702],[1.67387035e-05],[-4.8723316e-05],[-0.00012702],[1.67387035e-05],[-4.8723316e-05],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.21052336],[-1.1452601],[0.00701291],[-9.07516883e-06],[1.04519643e-05],[-0.0923036],[0.49999312],[-0.49999367],[-0.50000375],[-0.50000947],[-0.00012702],[1.67387035e-05],[-4.8723316e-05],[-0.00012702],[1.67387035e-05],[-4.8723316e-05],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.21052331],[-1.14526004],[0.0065514],[-4.74525236e-06],[1.51310273e-05],[-0.09256499],[0.49999292],[-0.49999375],[-0.50000363],[-0.50000971],[-0.00012702],[1.67387035e-05],[-4.8723316e-05],[-0.00012702],[1.67387035e-05],[-4.8723316e-05],[3500.],[3500.],[3500.],0.0,0.0,0.0
