Time,True X,True Y,True Z,True VX,True VY,True VZ,True qw,True qx,True qy,True qz,True wx,True wy,True wz,Barometer,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Magnetometer X,Magnetometer Y,Magnetometer Z,GPS Latitude,GPS Longitude,GPS Altitude,Estimated X,Estimated Y,Estimated Z,Estimated VX,Estimated VY,Estimated VZ,Estimated aX,Estimated aY,Estimated aZ,Estimated qw,Estimated qx,Estimated qy,Estimated qz,Estimated wx,Estimated wy,Estimated wz,Estimated Cbx,Estimated Cby,Estimated Cbz,Error Signal,Controller Output,Airbrake Deployment Level
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[0.02372216],[nan],[nan],[nan],[0.00127581],[-0.00073318],[-0.00036373],[-0.03087896],[0.02019681],[0.99901737],[32.99023495],[-106.97501147],[-1.135717],[-0.77487761],[-1.29987429],[0.0218482],[0.],[0.],[0.],[0.50000021],[-0.49999979],[-0.49999996],[-0.50000004],[0.00122168],[-0.00070207],[-0.0003483],[0.00122168],[-0.00070207],[-0.0003483],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[-0.77487761],[-1.29987429],[0.0218482],[0.],[0.],[0.],[0.50000042],[-0.49999871],[-0.5000028],[-0.49999807],[0.00122168],[-0.00070207],[-0.0003483],[0.00122168],[-0.00070207],[-0.0003483],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[0.09706431],[9.75588219],[0.00120334],[-0.00166973],[-0.00076214],[0.00017883],[-0.00067598],[0.00823967],[0.0938951],[0.961179],[nan],[nan],[nan],[-0.77487758],[-1.29987432],[0.05959439],[1.17117279e-05],[-1.60822845e-05],[0.0369623],[0.50000058],[-0.49999715],[-0.50000669],[-0.49999559],[-0.00043452],[3.22069783e-05],[-0.00062253],[-0.00043452],[3.22069783e-05],[-0.00062253],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[-0.77487752],[-1.2998744],[0.0597792],[1.75684936e-05],[-2.41246093e-05],[0.03670845],[0.4999993],[-0.49999687],[-0.50000688],[-0.49999695],[-0.00043452],[3.22069783e-05],[-0.00062253],[-0.00043452],[3.22069783e-05],[-0.00062253],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[0.16551572],[9.75644426],[-0.00110862],[0.00291384],[0.00222688],[-0.0007639],[-0.0002391],[-0.02079394],[-0.01400841],[0.96008679],[nan],[nan],[nan],[-0.77487744],[-1.2998745],[0.09615321],[1.72705665e-05],[-2.02809479e-05],[0.14002629],[0.49999875],[-0.49999628],[-0.50000635],[-0.49999861],[0.00177846],[-0.00062803],[-0.00030256],[0.00177846],[-0.00062803],[-0.00030256],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[-0.77487735],[-1.29987461],[0.09685334],[1.12735612e-05],[-5.49698602e-06],[0.13977526],[0.49999981],[-0.49999446],[-0.50000974],[-0.49999598],[0.00177846],[-0.00062803],[-0.00030256],[0.00177846],[-0.00062803],[-0.00030256],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[-0.77487729],[-1.29987463],[0.09755222],[5.27655592e-06],[9.28697581e-06],[0.13952422],[0.50000087],[-0.49999265],[-0.50001313],[-0.49999335],[0.00177846],[-0.00062803],[-0.00030256],[0.00177846],[-0.00062803],[-0.00030256],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[0.11261878],[9.75617372],[0.0005943],[0.0022095],[0.00037641],[0.00033286],[0.00103904],[0.01587557],[0.05532887],[1.00868801],[nan],[nan],[nan],[-0.77487725],[-1.29987459],[0.10231374],[7.60467496e-06],[2.10195985e-05],[0.16453738],[0.50000136],[-0.49999019],[-0.5000183],[-0.49999015],[0.00055309],[0.00021252],[0.00087085],[0.00055309],[0.00021252],[0.00087085],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[-0.77487721],[-1.29987448],[0.10313643],[9.83789893e-06],[3.27875333e-05],[0.164285],[0.50000341],[-0.49999032],[-0.50001764],[-0.49998863],[0.00055309],[0.00021252],[0.00087085],[0.00055309],[0.00021252],[0.00087085],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[-0.77487716],[-1.29987432],[0.10395785],[1.20711229e-05],[4.45554681e-05],[0.16403262],[0.50000545],[-0.49999045],[-0.50001697],[-0.49998712],[0.00055309],[0.00021252],[0.00087085],[0.00055309],[0.00021252],[0.00087085],[3500.],[3500.],[3500.],0.0,0.0,0.0
