Time,True X,True Y,True Z,True VX,True VY,True VZ,True qw,True qx,True qy,True qz,True wx,True wy,True wz,Barometer,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Magnetometer X,Magnetometer Y,Magnetometer Z,GPS Latitude,GPS Longitude,GPS Altitude,Estimated X,Estimated Y,Estimated Z,Estimated VX,Estimated VY,Estimated VZ,Estimated aX,Estimated aY,Estimated aZ,Estimated qw,Estimated qx,Estimated qy,Estimated qz,Estimated wx,Estimated wy,Estimated wz,Estimated Cbx,Estimated Cby,Estimated Cbz,Error Signal,Controller Output,Airbrake Deployment Level
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[0.01675668],[nan],[nan],[nan],[0.00010052],[0.00025569],[0.00010322],[-0.02997981],[-0.02173126],[0.92305242],[32.99023563],[-106.97497545],[-3.05540763],[1.29704072],[-1.25404078],[0.01183725],[0.],[0.],[0.],[0.50000004],[-0.49999996],[-0.49999977],[-0.50000023],[9.62515987e-05],[0.00024484],[9.88389927e-05],[9.62515987e-05],[0.00024484],[9.88389927e-05],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[1.29704072],[-1.25404078],[0.01183725],[0.],[0.],[0.],[0.50000059],[-0.49999966],[-0.49999946],[-0.50000029],[9.62515987e-05],[0.00024484],[9.88389927e-05],[9.62515987e-05],[0.00024484],[9.88389927e-05],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[-0.11032627],[9.7576298],[0.00020857],[-0.00058241],[2.36538887e-05],[0.00018653],[0.00142089],[0.00803596],[-0.06235855],[0.96613032],[nan],[nan],[nan],[1.29704072],[-1.25404081],[-0.0494705],[2.16426661e-06],[-6.09945118e-06],[-0.06134589],[0.50000109],[-0.49999966],[-0.49999863],[-0.50000062],[3.63352835e-05],[0.00019684],[0.00120269],[3.63352835e-05],[0.00019684],[0.00120269],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[1.29704073],[-1.25404084],[-0.04977723],[3.24652417e-06],[-9.14967219e-06],[-0.06159098],[0.50000288],[-0.50000088],[-0.49999693],[-0.49999931],[3.63352835e-05],[0.00019684],[0.00120269],[3.63352835e-05],[0.00019684],[0.00120269],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[0.07473702],[9.75729745],[0.00073006],[-0.00064881],[0.00014309],[-0.00056262],[-0.0008678],[-0.03458526],[-0.01308333],[1.08656895],[nan],[nan],[nan],[1.29704075],[-1.25404087],[-0.00728796],[6.00075296e-06],[-1.24263338e-05],[0.06064059],[0.50000486],[-0.5000022],[-0.49999454],[-0.4999984],[0.00012343],[-0.0004359],[-0.00051953],[0.00012343],[-0.0004359],[-0.00051953],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[1.29704078],[-1.25404093],[-0.00698476],[1.02925766e-05],[-1.59261079e-05],[0.06039383],[0.50000382],[-0.50000194],[-0.49999589],[-0.49999835],[0.00012343],[-0.0004359],[-0.00051953],[0.00012343],[-0.0004359],[-0.00051953],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[1.29704083],[-1.25404101],[-0.00668279],[1.45844002e-05],[-1.9425882e-05],[0.06014708],[0.50000278],[-0.50000168],[-0.49999724],[-0.4999983],[0.00012343],[-0.0004359],[-0.00051953],[0.00012343],[-0.0004359],[-0.00051953],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[0.00257132],[9.75659969],[-0.00035714],[-0.00014308],[5.56665473e-05],[0.00036727],[0.00023861],[-0.0022143],[-0.03873452],[0.98388899],[nan],[nan],[nan],[1.29704089],[-1.2540411],[-0.00384982],[1.30600647e-05],[-2.01139028e-05],[0.07563994],[0.50000206],[-0.50000183],[-0.49999752],[-0.49999859],[6.49154209e-05],[0.00026705],[0.00014404],[6.49154209e-05],[0.00026705],[0.00014404],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[1.29704096],[-1.2540412],[-0.00347162],[1.16045112e-05],[-2.08355578e-05],[0.07538971],[0.50000266],[-0.5000016],[-0.49999709],[-0.49999866],[6.49154209e-05],[0.00026705],[0.00014404],[6.49154209e-05],[0.00026705],[0.00014404],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[1.29704102],[-1.2540413],[-0.00309467],[1.01489576e-05],[-2.15572128e-05],[0.07513948],[0.50000325],[-0.50000136],[-0.49999665],[-0.49999873],[6.49154209e-05],[0.00026705],[0.00014404],[6.49154209e-05],[0.00026705],[0.00014404],[3500.],[3500.],[3500.],0.0,0.0,0.0
