Time,True X,True Y,True Z,True VX,True VY,True VZ,True qw,True qx,True qy,True qz,True wx,True wy,True wz,Barometer,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Magnetometer X,Magnetometer Y,Magnetometer Z,GPS Latitude,GPS Longitude,GPS Altitude,Estimated X,Estimated Y,Estimated Z,Estimated VX,Estimated VY,Estimated VZ,Estimated aX,Estimated aY,Estimated aZ,Estimated qw,Estimated qx,Estimated qy,Estimated qz,Estimated wx,Estimated wy,Estimated wz,Estimated Cbx,Estimated Cby,Estimated Cbz,Error Signal,Controller Output,Airbrake Deployment Level
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[-0.00326186],[nan],[nan],[nan],[0.00081462],[-0.00131344],[-0.00012698],[0.06081178],[-0.09331318],[1.01694815],[32.99023291],[-106.97502993],[0.79519222],[-1.83666622],[-1.43938716],[-0.00198439],[0.],[0.],[0.],[0.49999939],[-0.50000061],[-0.49999987],[-0.50000013],[0.00078006],[-0.00125772],[-0.00012159],[0.00078006],[-0.00125772],[-0.00012159],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[-1.83666622],[-1.43938716],[-0.00198439],[0.],[0.],[0.],[0.49999864],[-0.50000105],[-0.50000257],[-0.49999773],[0.00078006],[-0.00125772],[-0.00012159],[0.00078006],[-0.00125772],[-0.00012159],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[0.04919754],[9.75798278],[0.0006166],[0.00148898],[-0.00084861],[-0.00024048],[-0.00029475],[-0.02498348],[-0.05242513],[1.0439212],[nan],[nan],[nan],[-1.83666621],[-1.43938712],[0.02370039],[6.03977269e-06],[1.62262259e-05],[0.02501056],[0.499998],[-0.50000174],[-0.50000457],[-0.49999569],[-0.00057942],[-0.00040932],[-0.00026652],[-0.00057942],[-0.00040932],[-0.00026652],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[-1.83666618],[-1.43938704],[0.02382544],[9.06012788e-06],[2.43405715e-05],[0.02476722],[0.49999643],[-0.50000264],[-0.50000469],[-0.49999624],[-0.00057942],[-0.00040932],[-0.00026652],[-0.00057942],[-0.00040932],[-0.00026652],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[-0.09135302],[9.75685701],[0.00217548],[-0.00095911],[-0.00015425],[0.00086024],[0.00044657],[0.0241642],[-0.01674789],[0.98703508],[nan],[nan],[nan],[-1.83666613],[-1.43938693],[-0.01558389],[1.6048967e-05],[2.62024809e-05],[-0.08861545],[0.49999444],[-0.50000384],[-0.50000496],[-0.49999676],[-0.00022466],[0.00064713],[0.0003275],[-0.00022466],[0.00064713],[0.0003275],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[-1.83666605],[-1.4393868],[-0.01602697],[2.67205991e-05],[2.22971446e-05],[-0.08886438],[0.49999538],[-0.50000372],[-0.50000346],[-0.49999744],[-0.00022466],[0.00064713],[0.0003275],[-0.00022466],[0.00064713],[0.0003275],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[-1.83666592],[-1.43938669],[-0.01647129],[3.73922312e-05],[1.83918083e-05],[-0.08911331],[0.49999632],[-0.5000036],[-0.50000196],[-0.49999812],[-0.00022466],[0.00064713],[0.0003275],[-0.00022466],[0.00064713],[0.0003275],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[-0.00688815],[9.75647468],[0.00071514],[-0.0005597],[-0.00035426],[-1.06464637e-06],[-0.00024038],[-0.02731166],[0.05713731],[0.95624046],[nan],[nan],[nan],[-1.83666574],[-1.43938659],[-0.01408049],[4.10074974e-05],[1.59814844e-05],[-0.07173029],[0.49999734],[-0.50000307],[-0.50000122],[-0.49999837],[-0.00033863],[7.97539258e-05],[-0.00016965],[-0.00033863],[7.97539258e-05],[-0.00016965],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[-1.83666554],[-1.43938651],[-0.01443914],[4.46974366e-05],[1.35582548e-05],[-0.07198117],[0.4999968],[-0.50000318],[-0.50000091],[-0.49999911],[-0.00033863],[7.97539258e-05],[-0.00016965],[-0.00033863],[7.97539258e-05],[-0.00016965],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[-1.83666532],[-1.43938645],[-0.01479905],[4.83873759e-05],[1.11350252e-05],[-0.07223205],[0.49999627],[-0.50000329],[-0.5000006],[-0.49999984],[-0.00033863],[7.97539258e-05],[-0.00016965],[-0.00033863],[7.97539258e-05],[-0.00016965],[3500.],[3500.],[3500.],0.0,0.0,0.0
