Time,True X,True Y,True Z,True VX,True VY,True VZ,True qw,True qx,True qy,True qz,True wx,True wy,True wz,Barometer,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Magnetometer X,Magnetometer Y,Magnetometer Z,GPS Latitude,GPS Longitude,GPS Altitude,Estimated X,Estimated Y,Estimated Z,Estimated VX,Estimated VY,Estimated VZ,Estimated aX,Estimated aY,Estimated aZ,Estimated qw,Estimated qx,Estimated qy,Estimated qz,Estimated wx,Estimated wy,Estimated wz,Estimated Cbx,Estimated Cby,Estimated Cbz,Error Signal,Controller Output,Airbrake Deployment Level
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[-0.09878524],[nan],[nan],[nan],[-0.00051576],[0.00073154],[-0.00095144],[-0.07816947],[-0.0517914],[1.05934589],[32.9902491],[-106.97498119],[5.96546521],[0.96677103],[-0.33461686],[-0.08900907],[0.],[0.],[0.],[0.5000001],[-0.4999999],[-0.49999951],[-0.50000049],[-0.00049387],[0.0007005],[-0.00091107],[-0.00049387],[0.0007005],[-0.00091107],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.96677103],[-0.33461686],[-0.08900907],[0.],[0.],[0.],[0.49999922],[-0.4999985],[-0.49999915],[-0.50000313],[-0.00049387],[0.0007005],[-0.00091107],[-0.00049387],[0.0007005],[-0.00091107],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[-0.14538792],[9.75705247],[-0.00070398],[0.00033477],[0.00038688],[0.00018542],[0.00060797],[-0.02232953],[0.0059962],[1.06811067],[nan],[nan],[nan],[0.96677101],[-0.33461686],[-0.11730312],[-7.92128933e-06],[2.55166367e-06],[-0.0285807],[0.49999844],[-0.49999708],[-0.49999865],[-0.50000583],[0.00024212],[0.00027174],[0.00035755],[0.00024212],[0.00027174],[0.00035755],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.96677097],[-0.33461684],[-0.11744603],[-1.18825456e-05],[3.82766931e-06],[-0.0288287],[0.49999953],[-0.49999688],[-0.49999817],[-0.50000542],[0.00024212],[0.00027174],[0.00035755],[0.00024212],[0.00027174],[0.00035755],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[0.14650539],[9.75819138],[-3.20839929e-05],[-0.00174401],[-0.00041815],[8.3869861e-05],[0.00034585],[0.02160232],[0.0262039],[1.11202273],[nan],[nan],[nan],[0.96677091],[-0.3346168],[-0.02704093],[-1.40165785e-05],[-3.64999722e-07],[0.23006103],[0.50000016],[-0.49999669],[-0.49999855],[-0.5000046],[-0.00030708],[0.00011511],[0.00034731],[-0.00030708],[0.00011511],[0.00034731],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.96677084],[-0.3346168],[-0.02589062],[-1.44616938e-05],[-9.5684081e-06],[0.22981869],[0.50000036],[-0.49999737],[-0.49999758],[-0.50000469],[-0.00030708],[0.00011511],[0.00034731],[-0.00030708],[0.00011511],[0.00034731],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.96677077],[-0.33461684],[-0.02474153],[-1.49068091e-05],[-1.87718165e-05],[0.22957636],[0.50000055],[-0.49999804],[-0.49999662],[-0.50000479],[-0.00030708],[0.00011511],[0.00034731],[-0.00030708],[0.00011511],[0.00034731],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[-0.21969855],[9.75498537],[0.00060761],[0.00137585],[-0.00017044],[-6.76163954e-05],[-0.00020234],[-0.01199233],[-0.07173234],[0.94270007],[nan],[nan],[nan],[0.9667707],[-0.33461695],[-0.07905713],[-1.1908317e-05],[-1.23098207e-05],[-0.11550192],[0.5000014],[-0.49999925],[-0.49999334],[-0.50000602],[-0.0001879],[-4.49401584e-05],[-0.00013354],[-0.0001879],[-4.49401584e-05],[-0.00013354],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.96677064],[-0.33461702],[-0.07963464],[-8.94624616e-06],[-6.04116499e-06],[-0.11576017],[0.50000094],[-0.49999938],[-0.49999333],[-0.50000636],[-0.0001879],[-4.49401584e-05],[-0.00013354],[-0.0001879],[-4.49401584e-05],[-0.00013354],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.96677059],[-0.33461705],[-0.08021344],[-5.98417529e-06],[2.27490745e-07],[-0.11601841],[0.50000048],[-0.4999995],[-0.49999331],[-0.50000671],[-0.0001879],[-4.49401584e-05],[-0.00013354],[-0.0001879],[-4.49401584e-05],[-0.00013354],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[-0.19891038],[9.75773991],[0.00094611],[0.00108783],[-0.00093462],[0.00130886],[0.00022608],[0.14957493],[-0.01593047],[1.03995388],[nan],[nan],[nan],[0.96677057],[-0.33461708],[-0.11184623],[-1.30037939e-06],[4.9374116e-06],[-0.39175353],[0.49999811],[-0.49999855],[-0.49999807],[-0.50000527],[-0.0008408],[0.00114008],[0.00018159],[-0.0008408],[0.00114008],[0.00018159],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.96677056],[-0.33461706],[-0.113805],[3.36538198e-06],[9.68086064e-06],[-0.39199813],[0.49999871],[-0.4999984],[-0.49999536],[-0.50000752],[-0.0008408],[0.00114008],[0.00018159],[-0.0008408],[0.00114008],[0.00018159],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.06,0.0,0.0,3.66493339001693e-06,0.0,0.0,0.004237256157134099,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.96677058],[-0.33461701],[-0.11576499],[8.03114336e-06],[1.44243097e-05],[-0.39224272],[0.49999931],[-0.49999826],[-0.49999266],[-0.50000977],[-0.0008408],[0.00114008],[0.00018159],[-0.0008408],[0.00114008],[0.00018159],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.065,0.0,0.0,0.00010953431198894576,0.0,0.0,0.0457737416478075,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[-0.07510664],[12.80792487],[0.00028373],[0.00017248],[0.00049542],[0.00093744],[-1.07721828e-05],[-0.01536136],[0.00580117],[0.92017516],[nan],[nan],[nan],[0.96677072],[-0.33461704],[-0.10660263],[1.53535221e-05],[7.51742098e-06],[-0.26284488],[0.49985026],[-0.49995707],[-0.50022214],[-0.49997046],[0.00032883],[0.00096323],[1.37292254e-05],[0.00032883],[0.00096323],[1.37292254e-05],[3500.],[3500.],[3500.],0.0,0.0,0.0
