Time,True X,True Y,True Z,True VX,True VY,True VZ,True qw,True qx,True qy,True qz,True wx,True wy,True wz,Barometer,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Magnetometer X,Magnetometer Y,Magnetometer Z,GPS Latitude,GPS Longitude,GPS Altitude,Estimated X,Estimated Y,Estimated Z,Estimated VX,Estimated VY,Estimated VZ,Estimated aX,Estimated aY,Estimated aZ,Estimated qw,Estimated qx,Estimated qy,Estimated qz,Estimated wx,Estimated wy,Estimated wz,Estimated Cbx,Estimated Cby,Estimated Cbz,Error Signal,Controller Output,Airbrake Deployment Level
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[0.00456586],[nan],[nan],[nan],[0.00010443],[-2.52125946e-05],[-0.00016635],[0.00417171],[0.02418938],[0.96213549],[32.99025062],[-106.97497331],[-1.47927578],[1.41981082],[-0.23101351],[0.00219331],[0.],[0.],[0.],[0.50000008],[-0.49999992],[-0.50000012],[-0.49999988],[0.0001],[-2.41428725e-05],[-0.00015929],[0.0001],[-2.41428725e-05],[-0.00015929],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[1.41981082],[-0.23101351],[0.00219331],[0.],[0.],[0.],[0.49999998],[-0.49999962],[-0.50000047],[-0.49999992],[0.0001],[-2.41428725e-05],[-0.00015929],[0.0001],[-2.41428725e-05],[-0.00015929],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[-0.08458936],[9.75806159],[0.00118447],[-0.00044988],[0.00140632],[-0.00084898],[-0.00069208],[-0.05104038],[-0.01345382],[1.04676514],[nan],[nan],[nan],[1.41981085],[-0.23101353],[-0.04135873],[1.16956816e-05],[-4.45288902e-06],[-0.04371645],[0.5000001],[-0.49999939],[-0.50000025],[-0.50000026],[0.00119004],[-0.00071246],[-0.00060391],[0.00119004],[-0.00071246],[-0.00060391],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[1.41981091],[-0.23101355],[-0.04157732],[1.75443724e-05],[-6.67969446e-06],[-0.0439594],[0.49999995],[-0.49999803],[-0.50000338],[-0.49999864],[0.00119004],[-0.00071246],[-0.00060391],[0.00119004],[-0.00071246],[-0.00060391],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[-0.00584928],[9.75835673],[0.00029028],[-0.00016797],[-0.00014605],[-0.00030035],[0.00146211],[0.01724929],[-0.02257853],[1.015746],[nan],[nan],[nan],[1.419811],[-0.23101358],[-0.02947184],[2.09344112e-05],[-8.03084426e-06],[-0.00892899],[0.49999981],[-0.49999683],[-0.50000642],[-0.49999694],[8.04142229e-05],[-0.00036931],[0.00111365],[8.04142229e-05],[-0.00036931],[0.00111365],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[1.4198111],[-0.23101362],[-0.02951649],[2.20674197e-05],[-8.56748675e-06],[-0.00917046],[0.50000085],[-0.49999858],[-0.50000559],[-0.49999498],[8.04142229e-05],[-0.00036931],[0.00111365],[8.04142229e-05],[-0.00036931],[0.00111365],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[1.41981121],[-0.23101366],[-0.02956234],[2.32004283e-05],[-9.10412924e-06],[-0.00941193],[0.50000188],[-0.50000033],[-0.50000476],[-0.49999303],[8.04142229e-05],[-0.00036931],[0.00111365],[8.04142229e-05],[-0.00036931],[0.00111365],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[-0.11037045],[9.75675126],[0.00162579],[-0.0007226],[-0.00069663],[0.00072594],[-0.00016875],[0.00225857],[0.00864471],[1.00612439],[nan],[nan],[nan],[1.41981134],[-0.23101373],[-0.05245069],[3.18675924e-05],[-1.21444074e-05],[-0.15166716],[0.50000274],[-0.500002],[-0.50000414],[-0.49999112],[-0.00059942],[0.0005878],[-8.02206347e-06],[-0.00059942],[0.0005878],[-8.02206347e-06],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[1.4198115],[-0.23101379],[-0.05320903],[4.04524357e-05],[-1.5162688e-05],[-0.15191662],[0.50000271],[-0.50000201],[-0.50000267],[-0.49999261],[-0.00059942],[0.0005878],[-8.02206347e-06],[-0.00059942],[0.0005878],[-8.02206347e-06],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[1.4198117],[-0.23101387],[-0.05396861],[4.90372789e-05],[-1.81809686e-05],[-0.15216608],[0.50000269],[-0.50000201],[-0.50000119],[-0.49999411],[-0.00059942],[0.0005878],[-8.02206347e-06],[-0.00059942],[0.0005878],[-8.02206347e-06],[3500.],[3500.],[3500.],0.0,0.0,0.0
