Time,True X,True Y,True Z,True VX,True VY,True VZ,True qw,True qx,True qy,True qz,True wx,True wy,True wz,Barometer,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Magnetometer X,Magnetometer Y,Magnetometer Z,GPS Latitude,GPS Longitude,GPS Altitude,Estimated X,Estimated Y,Estimated Z,Estimated VX,Estimated VY,Estimated VZ,Estimated aX,Estimated aY,Estimated aZ,Estimated qw,Estimated qx,Estimated qy,Estimated qz,Estimated wx,Estimated wy,Estimated wz,Estimated Cbx,Estimated Cby,Estimated Cbz,Error Signal,Controller Output,Airbrake Deployment Level
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[0.00607326],[nan],[nan],[nan],[-2.32120476e-06],[0.00079748],[-0.00057464],[0.02912477],[-0.09884731],[0.94273723],[32.99027808],[-106.97499495],[-2.52335384],[0.1751917],[1.64345343],[0.00203062],[0.],[0.],[0.],[0.49999945],[-0.50000055],[-0.4999997],[-0.5000003],[-2.22272049e-06],[0.00076364],[-0.00055026],[-2.22272049e-06],[0.00076364],[-0.00055026],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.1751917],[1.64345343],[0.00203062],[0.],[0.],[0.],[0.49999972],[-0.49999891],[-0.49999943],[-0.50000194],[-2.22272049e-06],[0.00076364],[-0.00055026],[-2.22272049e-06],[0.00076364],[-0.00055026],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[0.16596262],[9.75659362],[-0.00124814],[0.00086167],[0.00030944],[-0.00022204],[-0.00061967],[0.07438355],[-0.00260908],[0.94477297],[nan],[nan],[nan],[0.17519167],[1.64345346],[0.08429843],[-1.3036314e-05],[7.90170314e-06],[0.08116372],[0.49999959],[-0.49999727],[-0.49999991],[-0.50000322],[0.00025743],[-5.92767935e-05],[-0.00060859],[0.00025743],[-5.92767935e-05],[-0.00060859],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.1751916],[1.6434535],[0.08470425],[-1.95553976e-05],[1.18531983e-05],[0.08091345],[0.49999908],[-0.49999627],[-0.50000107],[-0.50000358],[0.00025743],[-5.92767935e-05],[-0.00060859],[0.00025743],[-5.92767935e-05],[-0.00060859],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[0.02230533],[9.75745791],[-0.00049407],[-8.24912442e-05],[-0.00067167],[0.00035468],[-0.00019456],[-0.04900133],[-0.03743898],[1.0263588],[nan],[nan],[nan],[0.1751915],[1.64345355],[0.06357567],[-2.42887344e-05],[1.34310743e-05],[0.01904164],[0.49999879],[-0.49999564],[-0.50000107],[-0.5000045],[-0.00051472],[0.00028467],[-0.00026459],[-0.00051472],[0.00028467],[-0.00026459],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.17519138],[1.64345362],[0.06367088],[-2.73831349e-05],[1.28138281e-05],[0.01879565],[0.49999818],[-0.4999956],[-0.5000004],[-0.50000583],[-0.00051472],[0.00028467],[-0.00026459],[-0.00051472],[0.00028467],[-0.00026459],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.17519124],[1.64345368],[0.06376486],[-3.04775353e-05],[1.2196582e-05],[0.01854966],[0.49999756],[-0.49999555],[-0.49999973],[-0.50000716],[-0.00051472],[0.00028467],[-0.00026459],[-0.00051472],[0.00028467],[-0.00026459],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[0.03084976],[9.75702105],[0.0025229],[-0.00217164],[-0.00044313],[0.00033862],[0.00128218],[0.01573775],[0.00096526],[0.97737145],[nan],[nan],[nan],[0.17519112],[1.64345372],[0.05452214],[-1.85020436e-05],[7.35757469e-07],[-0.03973765],[0.49999646],[-0.49999549],[-0.49999954],[-0.5000085],[-0.00045131],[0.00033266],[0.00108857],[-0.00045131],[0.00033266],[0.00108857],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.17519103],[1.64345372],[0.05432345],[-6.69146645e-06],[-1.06083094e-05],[-0.03998578],[0.49999767],[-0.499997],[-0.4999972],[-0.50000812],[-0.00045131],[0.00033266],[0.00108857],[-0.00045131],[0.00033266],[0.00108857],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.17519099],[1.64345367],[0.05412353],[5.11911072e-06],[-2.19523763e-05],[-0.04023392],[0.49999889],[-0.49999851],[-0.49999486],[-0.50000774],[-0.00045131],[0.00033266],[0.00108857],[-0.00045131],[0.00033266],[0.00108857],[3500.],[3500.],[3500.],0.0,0.0,0.0
