Time,True X,True Y,True Z,True VX,True VY,True VZ,True qw,True qx,True qy,True qz,True wx,True wy,True wz,Barometer,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Magnetometer X,Magnetometer Y,Magnetometer Z,GPS Latitude,GPS Longitude,GPS Altitude,Estimated X,Estimated Y,Estimated Z,Estimated VX,Estimated VY,Estimated VZ,Estimated aX,Estimated aY,Estimated aZ,Estimated qw,Estimated qx,Estimated qy,Estimated qz,Estimated wx,Estimated wy,Estimated wz,Estimated Cbx,Estimated Cby,Estimated Cbz,Error Signal,Controller Output,Airbrake Deployment Level
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[-0.15001921],[nan],[nan],[nan],[0.00039536],[0.00118741],[-0.00085191],[-0.02623535],[0.0508519],[1.00864642],[32.99025225],[-106.97499472],[-7.81393785],[0.18856468],[-0.11920625],[-0.16210005],[0.],[0.],[0.],[0.50000031],[-0.49999969],[-0.5000001],[-0.4999999],[0.00037859],[0.00113703],[-0.00081576],[0.00037859],[0.00113703],[-0.00081576],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.18856468],[-0.11920625],[-0.16210005],[0.],[0.],[0.],[0.50000118],[-0.49999678],[-0.50000017],[-0.50000187],[0.00037859],[0.00113703],[-0.00081576],[0.00037859],[0.00113703],[-0.00081576],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[-0.14080948],[9.75805345],[-0.00043842],[0.002111],[5.0470558e-05],[0.00033221],[0.00067832],[-0.03884141],[0.07576067],[1.02842564],[nan],[nan],[nan],[0.18856467],[-0.1192062],[-0.15141609],[-5.15418774e-06],[1.99488713e-05],[0.01012069],[0.50000223],[-0.4999935],[-0.50000061],[-0.50000366],[0.00010499],[0.00046565],[0.00043118],[0.00010499],[0.00046565],[0.00043118],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.18856464],[-0.1192061],[-0.15136549],[-7.73166148e-06],[2.99248095e-05],[0.00987769],[0.50000348],[-0.49999333],[-0.49999962],[-0.50000357],[0.00010499],[0.00046565],[0.00043118],[0.00010499],[0.00046565],[0.00043118],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[-0.05547301],[9.75677169],[0.00111097],[-0.00099326],[0.00068588],[-0.00089081],[7.22901437e-05],[-0.0390904],[0.00966545],[0.92429121],[nan],[nan],[nan],[0.18856461],[-0.11920594],[-0.11845482],[-6.21430706e-06],[3.17648807e-05],[0.10367415],[0.50000465],[-0.49999351],[-0.49999818],[-0.50000367],[0.00058704],[-0.00066225],[0.00013226],[0.00058704],[-0.00066225],[0.00013226],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.18856458],[-0.11920578],[-0.11793645],[-9.05081805e-07],[2.61005121e-05],[0.10342479],[0.50000472],[-0.49999376],[-0.49999958],[-0.50000194],[0.00058704],[-0.00066225],[0.00013226],[0.00058704],[-0.00066225],[0.00013226],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.18856457],[-0.11920565],[-0.11741932],[4.40414345e-06],[2.04361436e-05],[0.10317542],[0.50000479],[-0.49999402],[-0.50000097],[-0.50000021],[0.00058704],[-0.00066225],[0.00013226],[0.00058704],[-0.00066225],[0.00013226],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[0.16957423],[9.75751453],[0.00152765],[0.00067172],[0.00057895],[-0.00041605],[0.00013758],[-0.02357611],[0.05586904],[1.0010872],[nan],[nan],[nan],[0.1885646],[-0.11920547],[-0.03588026],[1.19894101e-05],[2.35195725e-05],[0.60665607],[0.50000488],[-0.49999363],[-0.50000322],[-0.49999826],[0.00058009],[-0.00044687],[0.00013703],[0.00058009],[-0.00044687],[0.00013703],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.18856466],[-0.11920535],[-0.03284698],[1.95415685e-05],[2.65091615e-05],[0.60641037],[0.50000522],[-0.49999364],[-0.50000433],[-0.49999681],[0.00058009],[-0.00044687],[0.00013703],[0.00058009],[-0.00044687],[0.00013703],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[0.18856476],[-0.11920522],[-0.02981493],[2.70937269e-05],[2.94987505e-05],[0.60616466],[0.50000556],[-0.49999364],[-0.50000544],[-0.49999535],[0.00058009],[-0.00044687],[0.00013703],[0.00058009],[-0.00044687],[0.00013703],[3500.],[3500.],[3500.],0.0,0.0,0.0
