Time,True X,True Y,True Z,True VX,True VY,True VZ,True qw,True qx,True qy,True qz,True wx,True wy,True wz,Barometer,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Magnetometer X,Magnetometer Y,Magnetometer Z,GPS Latitude,GPS Longitude,GPS Altitude,Estimated X,Estimated Y,Estimated Z,Estimated VX,Estimated VY,Estimated VZ,Estimated aX,Estimated aY,Estimated aZ,Estimated qw,Estimated qx,Estimated qy,Estimated qz,Estimated wx,Estimated wy,Estimated wz,Estimated Cbx,Estimated Cby,Estimated Cbz,Error Signal,Controller Output,Airbrake Deployment Level
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[0.11262394],[nan],[nan],[nan],[-0.00012302],[0.00053033],[-0.00019384],[0.04883036],[0.05638232],[0.97573967],[32.99029121],[-106.97495199],[0.65179767],[2.64613571],[2.53954051],[0.11337204],[0.],[0.],[0.],[0.50000003],[-0.49999997],[-0.50000043],[-0.49999957],[-0.0001178],[0.00050783],[-0.00018562],[-0.0001178],[0.00050783],[-0.00018562],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[2.64613571],[2.53954051],[0.11337204],[0.],[0.],[0.],[0.50000029],[-0.49999925],[-0.49999988],[-0.50000058],[-0.0001178],[0.00050783],[-0.00018562],[-0.0001178],[0.00050783],[-0.00018562],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[-0.14726067],[9.75567954],[0.00016448],[-0.00104929],[-0.00037402],[-4.0414649e-05],[3.73072237e-05],[0.07651337],[0.05593898],[1.02038404],[nan],[nan],[nan],[2.64613571],[2.53954047],[-0.01742578],[1.45793846e-06],[-1.09373094e-05],[-0.13034451],[0.50000017],[-0.49999826],[-0.50000061],[-0.50000096],[-0.00033193],[5.00228041e-05],[7.91612934e-08],[-0.00033193],[5.00228041e-05],[7.91612934e-08],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[2.64613572],[2.53954042],[-0.01807751],[2.18693589e-06],[-1.64068654e-05],[-0.13059936],[0.49999982],[-0.49999861],[-0.50000013],[-0.50000144],[-0.00033193],[5.00228041e-05],[7.91612934e-08],[-0.00033193],[5.00228041e-05],[7.91612934e-08],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[-0.02706524],[9.7548935],[0.00246974],[0.00101427],[-0.00013316],[-0.00015045],[-0.00034461],[-0.05140537],[0.04556106],[1.07608705],[nan],[nan],[nan],[2.64613573],[2.53954034],[-0.0215882],[8.8703926e-06],[-1.64768135e-05],[-0.13903444],[0.4999997],[-0.49999828],[-0.49999953],[-0.50000248],[-0.00016695],[-0.00011678],[-0.00028657],[-0.00016695],[-0.00011678],[-0.00028657],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[2.64613577],[2.53954025],[-0.02228337],[2.09979912e-05],[-1.16134558e-05],[-0.1392932],[0.49999899],[-0.49999828],[-0.49999983],[-0.5000029],[-0.00016695],[-0.00011678],[-0.00028657],[-0.00016695],[-0.00011678],[-0.00028657],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[2.64613588],[2.53954019],[-0.02297984],[3.31255897e-05],[-6.75009803e-06],[-0.13955197],[0.49999828],[-0.49999828],[-0.50000012],[-0.50000332],[-0.00016695],[-0.00011678],[-0.00028657],[-0.00016695],[-0.00011678],[-0.00028657],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[0.00599872],[9.75640092],[0.00016957],[0.00014995],[-0.00093722],[0.00022866],[0.00033721],[0.03158564],[0.01365343],[1.06362937],[nan],[nan],[nan],[2.64613602],[2.53954016],[-0.01528437],[3.34836934e-05],[-6.17038134e-06],[-0.08762201],[0.49999728],[-0.49999816],[-0.50000153],[-0.50000303],[-0.0008403],[0.00018533],[0.0002589],[-0.0008403],[0.00018533],[0.0002589],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[2.64613619],[2.53954013],[-0.01572248],[3.39753032e-05],[-5.53126359e-06],[-0.08787328],[0.49999679],[-0.4999993],[-0.49999993],[-0.50000399],[-0.0008403],[0.00018533],[0.0002589],[-0.0008403],[0.00018533],[0.0002589],[3500.],[3500.],[3500.],0.0,0.0,0.0
0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[2.64613636],[2.5395401],[-0.01616184],[3.4466913e-05],[-4.89214583e-06],[-0.08812456],[0.49999629],[-0.50000044],[-0.49999832],[-0.50000495],[-0.0008403],[0.00018533],[0.0002589],[-0.0008403],[0.00018533],[0.0002589],[3500.],[3500.],[3500.],0.0,0.0,0.0
