Controller Name,Average Apogee Error,Average Controller Effort
Apogee Prediction,0.11264564271794512,0.16011312956935314
Dead-Band,0.05014740439937331,0.4471999999999999
Neural Network Sliding Surface,0.04060558305132764,0.2789794396666762
No Anti-Chattering,0.050403598237701984,2.2181333333333337
Soft-Switching,0.04942893999731781,0.4291832039421726
Super-Twisting,0.051039928773076775,0.2587201183919552
